100 296
15 68
0 10 30
0 29 34
0 33 12
0 34 42
1 14 0
2 30 49
3 16 12
3 79 1
5 17 14
5 75 9
5 77 49
6 77 33
6 100 3
7 74 36
7 75 49
7 76 13
8 43 28
8 57 28
8 82 15
8 87 1
8 94 33
9 21 47
9 67 34
9 90 50
10 31 6
10 47 14
10 62 30
10 96 21
11 28 45
11 68 11
12 8 7
12 24 39
12 31 45
13 80 32
14 34 46
14 37 2
14 53 21
14 72 50
15 24 22
15 41 12
15 99 1
16 36 43
16 48 11
17 24 32
17 44 26
17 74 37
17 75 28
17 79 40
18 65 48
18 81 3
18 84 29
18 98 14
19 15 3
19 60 31
19 97 23
20 55 31
20 90 45
21 24 18
21 26 44
21 65 35
22 62 34
23 32 22
24 51 2
24 61 16
24 96 9
24 100 47
25 34 39
25 57 38
25 98 22
26 44 31
26 69 50
26 80 43
27 80 15
27 97 16
28 9 30
28 13 39
28 21 38
28 85 48
28 95 24
29 14 35
29 46 2
31 17 3
31 23 14
31 35 23
31 36 19
31 47 16
31 51 46
31 64 41
31 96 19
32 11 4
33 96 49
35 66 7
36 9 15
36 54 48
36 65 40
36 73 13
36 76 41
36 90 4
37 20 50
37 71 35
38 24 3
38 26 11
38 84 23
39 7 0
39 12 32
39 25 3
40 23 40
40 46 40
40 48 47
40 73 18
41 14 34
41 97 40
42 11 24
42 14 41
42 18 16
42 54 17
43 5 11
43 8 32
43 30 20
43 38 36
43 50 49
43 62 25
43 79 20
43 98 49
44 0 5
44 3 35
45 59 28
46 16 44
46 20 24
46 25 37
46 64 22
46 92 25
46 97 11
47 93 50
47 95 17
48 24 1
48 79 5
49 14 2
49 37 39
50 5 33
50 33 4
50 60 24
51 4 27
51 66 12
52 15 12
52 26 19
52 48 4
52 89 45
53 7 23
53 77 38
54 75 50
54 92 38
55 50 23
56 3 39
57 1 13
57 8 14
57 61 38
57 75 20
57 90 10
58 40 6
58 51 36
59 0 13
59 25 39
59 53 40
60 57 4
60 61 3
60 79 35
61 46 47
61 51 18
61 64 39
61 90 31
63 54 1
63 70 45
63 97 37
64 6 1
64 27 14
64 65 20
65 8 2
65 9 0
66 32 13
66 37 19
66 92 40
67 2 7
67 53 10
68 0 28
68 71 14
68 79 18
68 99 5
69 50 3
69 90 50
70 43 38
70 47 29
71 0 24
71 14 7
71 36 49
71 67 13
71 93 5
72 61 33
73 12 41
73 32 15
73 64 5
74 75 44
74 97 5
75 9 39
75 24 11
75 26 3
75 55 36
76 4 21
76 15 42
77 9 48
77 14 18
77 26 24
77 40 6
77 79 37
77 93 14
78 56 29
78 93 5
79 1 9
79 18 42
80 34 19
80 62 33
80 78 48
81 18 37
81 36 2
81 72 7
81 84 42
82 19 21
83 29 10
83 50 7
83 67 6
84 35 44
84 40 48
84 42 49
84 50 5
84 66 0
85 43 38
85 48 31
85 59 29
85 100 8
87 24 39
87 36 42
87 63 43
87 79 13
88 1 38
88 30 45
88 42 20
88 50 24
88 56 9
88 84 15
89 16 28
89 24 0
89 77 10
89 80 31
89 86 19
89 95 43
90 22 10
90 59 15
90 72 39
90 82 1
90 95 37
91 78 7
92 0 13
92 6 40
92 7 13
92 67 34
93 18 16
93 28 13
93 54 33
93 78 24
93 97 15
94 33 4
94 49 17
95 18 33
95 74 40
96 28 34
96 74 24
96 99 8
97 17 35
97 40 36
97 44 22
97 49 19
97 62 32
97 88 33
98 55 14
98 58 4
98 93 48
99 19 5
99 29 23
99 40 41
99 66 17
99 93 1
100 6 9
100 18 27
100 46 30
100 78 25
100 80 11
15 99 66 32 11 68
46
